Time (s),Voltage (V),Current (A),Power (W),Power Factor,Speed (RPM),Torque (Nm),Temperature (°C),Vibration (m/s²)
0,1.4069235758069523,-0.07556584395919477,-0.00018621835880730273,0.0017515657743136341,3.469577628586352,-0.008969489756877058,45.23257266470978,0.008008136789821887
1,15.795208960165176,1.9146782220128733,4.651602379936677,0.15380888037184584,80.90327912436135,0.5605667453216282,45.486878793426435,0.0635717687615643
2,34.038486961929735,4.056434898036175,41.57031782267861,0.3010707659337175,159.37507790489613,2.600313920373865,45.056215987418966,0.045692222891636304
3,49.168681630066665,6.0452837331871265,136.88581402699126,0.4605249777113783,229.36516297685776,5.821882362195954,45.30239735925903,0.04879737790265404
4,67.46449027945756,7.968767991624746,320.97021231862686,0.5970329542639465,311.9821631815523,9.80710633908242,44.784787816446475,0.018979558481914557
5,81.86693440349994,8.057210751597953,399.5717164624901,0.605761248821948,391.78748032180664,9.744810188429767,45.217552194542684,0.04397308921803539
6,96.92977852682907,7.593742997646088,478.1108705483332,0.6495543609933221,467.11014698527487,9.623538546379748,45.124532672842506,0.07711950152912309
7,115.61353719961436,7.152995589691278,563.4750140321302,0.6813621696118198,540.3949974859665,9.990364036847753,45.41135996567861,0.1401350733141464
8,131.24177284601274,6.812618473715215,616.5709663810353,0.6895994624136114,620.7399596291015,9.334876979174846,45.040340166130335,0.08882903955381342
9,148.25168617955313,6.400824623834531,721.2660862503698,0.7600811155743471,696.6182434074058,9.857501198595255,45.626203898722004,0.0917775956282311
10,162.714863746018,5.8108866169883004,730.6401155722452,0.7727408743406493,770.2983315292241,9.25537607327003,45.02287963731676,0.1443660637614537
11,181.6788836012831,5.385569297828909,794.6908892631353,0.8121984625991756,854.9969443937648,8.972511824190287,45.861222099064285,0.11743271058846624
12,196.6167462890578,4.995486426329749,852.2570095058467,0.8677053869439705,929.8720332953188,8.734261491437351,45.74268191440244,0.1809269959287546
13,214.52740205534403,4.52510426793366,870.6598401103679,0.896885801023886,1008.0197288207368,8.090311717103154,45.3897878056091,0.16646840651426925
14,231.71849035686776,4.196769929756527,897.9920226092761,0.9234143657572619,1084.683135448145,7.823057467425927,45.43306263098329,0.17573149973971652
15,228.05571128454855,4.1733720720350815,880.703688143356,0.9253408964134845,1160.1003567496573,7.272315782399998,45.866709429778616,0.2232480612020745
16,229.83805073576514,4.206565679784121,898.2929855669516,0.9291127171765626,1237.2300739739396,6.963167730823785,45.931349427922854,0.2032446434824034
17,230.75439721238087,4.127641668403664,868.7851847381675,0.9121377559020786,1319.4925264124818,6.269686107973044,45.32226197822728,0.22862659532341897
18,229.64361816414186,4.120383321380835,860.6649630093841,0.909582554613496,1387.962166553099,5.723286009071653,45.23082936373129,0.24083626346546166
19,231.69139105444364,4.1542350420908125,898.3228978173964,0.9333220105958256,1474.745976613683,5.812060102429395,45.234975453590785,0.17479101085150867
20,229.84915590909856,4.285644876368215,902.4147128029291,0.9161088383935622,1467.3553895510292,5.753985144488469,45.72648189782484,0.22324269675523134
21,228.6727765132186,4.139156938900657,879.5523148251485,0.9292558797320918,1472.203853143084,5.644353994083372,45.57088388285959,0.2362667207174609
22,228.23757163181457,4.158846292881456,858.9894972444702,0.9049567970466326,1467.0235217633792,5.4222761361940295,45.60662532856385,0.1986933690019953
23,230.76068231235183,4.115563370431885,879.928429308873,0.9265230790301896,1470.6565612465754,5.750849751563367,45.599058313914156,0.19282934044174546
